1,Do I seem like more of a creative or analytical type? Explain.
1,Do I seem like someone who would get a name tattooed on myself? Why or why not?
1,What do my shoes tell you about me?
1,Do you think I've ever been fired from a job? If so, what for?
1,What was your first impression of me?
1,Do you think I was popular in school? Explain.
1,Do I seem like a coffee or tea person - sweetened or unsweetened?
1,As a child what do you think I wanted to be when I grow up?
1,Do I seem like a morning person or a night owl?
1,Do you think I was popular at school? Explain.
1,Do you think I'm usually early on time or late to events. Explain.
1,If Myspace was still a thing what would my profile song be?
1,On a scale of 1-10, how messy do you think my car is? 1 being the cleanest 10 complete disaster, explain.
1,Do you think I've ever had my heart broken?
1,Do you think I have a sibling? Older or younger?
1,Where do you think I grew up?
1, Do you think I've ever been in love?
2,What's the biggest mistake you've made?
2,What are you most excited for today? Big or small
2,What can you create during this time with exactly what you have? Big or small.
2,What movie do you wish you could watch again for the first time, why? Explain.
2,What is your most defining characteristic?
2,What's the most unexplainable thing that's ever happened to you?
2,What are you currently working through that others don't see?
2,What are you overthinking right now?
2,What belief about yourself no longer serves you?
2,What is your favourite part about yourself that isn't physical?
2,What is your most toxic trait you can admit to?
2,What lesson should you have learned by now?
2,What's been your happiest memory this past year?
2,Have you changed your mind about anything recently?
2,What has been your earliest recollection of happiness?
2,What lesson took you the longest to un-learn?
2,Are you lying to yourself about anything?
2,What questions are you trying to answer most in your life right now?
2,When was the last time you surprised yourself?
3,How can I add 1% more happiness to your life?
3,What question were you most afraid to answer, and what answer were you most afraid to hear?
3,Based on what you learned about me, does my social media accurately reflect who I am? Why or why not?
3,How would you describe me to a stranger?
3,Am I like you expected me to be?
3,In one word, describe how you feel right now.
3,Do you believe everyone has a calling? If so, do you think I've found mine?
3,What do you think my defining characteristic is?
3,What can we create together?
3,What answer of mine made you light up?
3,Based on what you learned about me what would you recommend I read?
3,What about me surprised you?
3,Based on what you know about me- do you have a Netflix recommendation?
3,What do you think my superpower is?
3,What do you think our most important similarities are?
3,What do you think is one thing I could do that would drastically improve my life?
3,What would be the perfect gift for me?
3,How would you describe me to a stranger?
3,What do I need to hear right now?
3,Based on what you've learned about me- does my social media portray me accurately?
3,What is a lesson you will take away from our conversation?
3,What can I help you with?
3,What do you think do I fear the most?
3,Where am I most qualified to give advice about?
3,What about me is the hardest for you to understand?